,E1_g1,E1_g10,E1_g11,E1_g12,E1_g2,E1_g3,E1_g4,E1_g5,E1_g6,E1_g7,E1_g8,E1_g9,E2_g1,E2_g10,E2_g11,E2_g12,E2_g2,E2_g3,E2_g4,E2_g5,E2_g6,E2_g7,E2_g8,E2_g9,E3_g1,E3_g10,E3_g2,E3_g3,E3_g4,E3_g5,E3_g6,E3_g7,E3_g8,E3_g9,E4_g1,E4_g10,E4_g2,E4_g3,E4_g4,E4_g5,E4_g6,E4_g7,E4_g8,E4_g9,E5_g1,E5_g10,E5_g11,E5_g12,E5_g2,E5_g3,E5_g4,E5_g5,E5_g6,E5_g7,E5_g8,E5_g9,E6_g1,E6_g10,E6_g11,E6_g12,E6_g2,E6_g3,E6_g4,E6_g5,E6_g6,E6_g7,E6_g8,E6_g9,E7_g1,E7_g10,E7_g2,E7_g3,E7_g4,E7_g5,E7_g6,E7_g7,E7_g8,E7_g9,E8_g1,E8_g10,E8_g2,E8_g3,E8_g4,E8_g5,E8_g6,E8_g7,E8_g8,E8_g9,E9_g1,E9_g10,E9_g11,E9_g12,E9_g2,E9_g3,E9_g4,E9_g5,E9_g6,E9_g7,E9_g8,E9_g9,E10_g1,E10_g10,E10_g11,E10_g12,E10_g2,E10_g3,E10_g4,E10_g5,E10_g6,E10_g7,E10_g8,E10_g9,E11_g1,E11_g10,E11_g11,E11_g12,E11_g2,E11_g3,E11_g4,E11_g5,E11_g6,E11_g7,E11_g8,E11_g9,E12_g1,E12_g10,E12_g2,E12_g3,E12_g4,E12_g5,E12_g6,E12_g7,E12_g8
Lant_sen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,10,0,2,10,0,0,25,35,30,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larr_cun,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,50,10,0,0,10,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,20,10,0,10,0,25,40,30,55,30,40,40,70,25,50,25,30,50,30,60,60,40,40,60,35,35,60,30,27,15,15,15,30,15,26,35,40,20,25,7,25,7,25,60,30,15,15,40,35,15,18,40,13,40,35,50,40,25,30,50
Larr_div,25,10,40,10,15,10,7,0.1,1,0,25,40,40,2,6,5,25,20,50,25,40,40,40,25,0,30,20,1,17,20,7,0,0,25,2,3,35,30,9,60,25,60,3,30,25,25,6,20,0.1,40,55,0,15,75,7,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,10,10,15,25,1,75,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyci_cil,0,0,0,0,0,0,0,0.1,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,85,0,0,0,0,0.1,0,0,0,1,0,0,0,0,10,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyci_ten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0,10,0,0,0,10,0.1,3,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,25,0,0,0.1,15,15,10,0,30,2,15,0,0.1,0,6,2,5,1,0.1,0,20,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,22,0,25,1,0,45,0,0
Lyci_sp,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayt_spi,0,5,0,0.5,5,5,10,0,0,0,0.1,0.1,0,5,0,0,0,0,5,0,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,5,0,0,0,25,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayt_vit,5,0,0,0.5,0.1,0,5,5,1,0.1,0.1,0,40,20,25,30,0.1,0,5,25,20,20,60,80,20,40,0,25,30,0,0,15,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mont_aph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
