ID_censo,Estacion,grupo,ppanual,Tmed,longitud,Cobertura_total,Altura_promedio_cm,Altura_maxima_cm,Riqueza_de_lenosas,Riqueza_de_cactaceas,Riqueza_total,Aspi_qbl,Buln_ret,Capp_ata,Geof_dec,Larr_cun,Larr_div,Mymo_car,Pros_fle,Pros_tor
E6_g6,Estación_06,Grupo_6,329,20.42,-66.645667,80,130,350,10,0,10,10,0,4,5,0,0,7,0,0
E6_g7,Estación_06,Grupo_7,329,20.42,-66.645667,75,250,500,4,1,5,40,0,35,0,0,0,60,0,0
E6_g8,Estación_06,Grupo_8,329,20.4166666666667,-66.645667,86,200,320,5,1,6,2,0,25,1,0,0,60,0,0
E6_g9,Estación_06,Grupo_9,329,20.4166666666667,-66.645667,80,200,500,9,1,10,25,0,10,3,0,0,2,0,0
E7_g1,Estación_07,Grupo_1,321,18.1375000377496,-67.178134,95,150,500,6,1,7,0,0,0,7,40,0,60,12,0
E7_g10,Estación_07,Grupo_10,321,18.1375000377496,-67.178134,90,200,700,7,0,7,30,0,1,0,0,3,60,0,3
E7_g2,Estación_07,Grupo_2,321,18.1375000377496,-67.178134,90,400,650,8,1,9,2,0,0,0,0,10,40,2,0
E7_g3,Estación_07,Grupo_3,321,18.1375000377496,-67.178134,40,150,300,8,0,8,0,0,0,0,0,10,2,3,2
E7_g4,Estación_07,Grupo_4,321,18.1375000377496,-67.178134,100,200,600,4,0,4,0,0,0,0,0,10,0,97,0
E7_g5,Estación_07,Grupo_5,321,18.1375000377496,-67.178134,88,200,300,4,0,4,10,0,0,0,20,10,35,0,0
E7_g6,Estación_07,Grupo_6,321,18.1375000377496,-67.178134,100,150,350,5,1,6,0,0,0,0,10,15,60,10,0
E7_g7,Estación_07,Grupo_7,321,18.1375000377496,-67.178134,97,250,400,3,1,4,0,0,0,0,0,25,40,0,0
E7_g8,Estación_07,Grupo_8,321,18.1375000377496,-67.178134,70,160,600,7,1,8,0,0,0,2,10,1,20,0,0
E7_g9,Estación_07,Grupo_9,321,18.1375000377496,-67.178134,95,225,350,7,0,7,0,0,0,0,0,75,10,0,0
E8_g1,Estación_08,Grupo_1,288,19.09,-67.3852645321291,70,110,190,5,0,5,0,0,0,0.5,25,0,0,0,0
E8_g10,Estación_08,Grupo_10,288,19.09,-67.3852645321291,55,160,320,6,0,6,0,0,3,1,40,0,0,0,3
E8_g2,Estación_08,Grupo_2,288,19.09,-67.3852645321291,60,200,350,7,0,7,5,0,5,4,30,0,0,0,10
E8_g3,Estación_08,Grupo_3,288,19.09,-67.3852645321291,65,200,320,8,0,8,5,0,10,0,55,0,0,0.5,4
E8_g4,Estación_08,Grupo_4,288,19.09,-67.3852645321291,50,80,250,7,0,7,0,0,5,0.5,30,0,0,0.5,5
E8_g5,Estación_08,Grupo_5,288,19.09,-67.3852645321291,50,110,350,5,0,5,0,0,0,0.5,40,0,0,25,1
E8_g6,Estación_08,Grupo_6,288,19.09,-67.3852645321291,45,150,400,6,0,6,4,0.5,1,0,40,0,0,0,4
E8_g7,Estación_08,Grupo_7,288,19.09,-67.3852645321291,80,150,200,4,0,4,0,0,0.5,0,70,0,0,15,0
E8_g8,Estación_08,Grupo_8,288,19.09,-67.3852645321291,60,150,300,8,0,8,0,0,3,0.5,25,5,0,0,0
E8_g9,Estación_08,Grupo_9,288,19.09,-67.3852645321291,55,150,250,5,0,5,0,0,0,2,50,0,0,3,0.5
E9_g1,Estación_09,Grupo_1,241,17.2,-67.500372,45,120,200,6,0,6,0,0,0,0,25,0,0,0,20
E9_g10,Estación_09,Grupo_10,241,17.2,-67.500372,55,120,270,5,0,5,0,15,0,0,30,0,0,25,0
E9_g11,Estación_09,Grupo_11,241,17.2,-67.500372,50,160,350,5,0,5,0,25,0,0,50,0,0,0,0
E9_g12,Estación_09,Grupo_12,241,17.2,-67.500372,90,150,600,4,0,4,0,1,0,0,30,0,0,80,0
E9_g2,Estación_09,Grupo_2,241,17.2,-67.500372,60,100,175,2,0,2,0,8,0,0,60,0,0,0,0
E9_g3,Estación_09,Grupo_3,241,17.2,-67.500372,60,130,200,6,0,6,0,0,20,30,60,0,0,0,0
E9_g4,Estación_09,Grupo_4,241,17.2,-67.500372,60,150,400,6,0,6,0,5,0,0.1,40,0,0,7,0
E9_g5,Estación_09,Grupo_5,241,17.2,-67.500372,60,115,135,3,0,3,0,0.1,0,0,40,0,0,0,0
E9_g6,Estación_09,Grupo_6,241,17.2,-67.500372,80,150,300,4,0,4,0,0,0,2,60,0,0,60,0
E9_g7,Estación_09,Grupo_7,241,17.2,-67.500372,75,200,250,5,0,5,0,50,0,0,35,0,0,30,0
E9_g8,Estación_09,Grupo_8,241,17.2,-67.500372,50,90,170,3,0,3,0,1,0,5,35,0,0,0,0
E9_g9,Estación_09,Grupo_9,241,17.2,-67.500372,70,140,230,3,0,3,0,0,0,0,60,0,0,0,40
E10_g1,Estación_10,Grupo_1,246,17.41,-67.646917,30,100,140,5,1,6,0,0,0,0,30,0,0,0,3
E10_g10,Estación_10,Grupo_10,246,17.41,-67.646917,45,95,200,6,0,6,0,0,3,0,27,0,0,0,25
E10_g11,Estación_10,Grupo_11,246,17.41,-67.646917,65,150,200,6,1,7,0,0,0,0,15,0,0,0,20
E10_g12,Estación_10,Grupo_12,246,17.41,-67.646917,55,80,250,3,1,4,0,0,0,0,15,0,0,0,0
E10_g2,Estación_10,Grupo_2,246,17.41,-67.646917,50,125,300,3,1,4,0,0,0,0,15,0,0,0,0.5
E10_g3,Estación_10,Grupo_3,246,17.41,-67.646917,40,60,150,5,1,6,0,0,0,0,30,0,0,0,0
E10_g4,Estación_10,Grupo_4,246,17.41,-67.646917,25,80,120,4,1,5,0,0,0,0,15,0,0,0,0
E10_g5,Estación_10,Grupo_5,246,17.41,-67.646917,30,100,125,2,0,2,0,0,0,0,26,0,0,0,0
E10_g6,Estación_10,Grupo_6,246,17.41,-67.646917,70,100,170,2,1,3,0,0,0,0,35,0,0,0,0
E10_g7,Estación_10,Grupo_7,246,17.41,-67.646917,60,100,180,2,1,3,0,0,0,0,40,0,0,0,55
E10_g8,Estación_10,Grupo_8,246,17.41,-67.646917,25,65,100,3,1,4,0,0,0,0,20,0,0,0,0.5
E10_g9,Estación_10,Grupo_9,246,17.41,-67.646917,35,100,150,3,1,4,0,0,0,0,25,0,0,0,6
E11_g1,Estación_11,Grupo_1,235,16.70,-67.7125,93,80,140,2,0,2,0,0,0,0,7,0,0,0,0
E11_g10,Estación_11,Grupo_10,235,16.70,-67.7125,25,50,80,1,0,1,0,0,0,0,25,0,0,0,0
E11_g11,Estación_11,Grupo_11,235,16.70,-67.7125,10,80,110,3,0,3,0,0,0,0,7,0,0,0,3
E11_g12,Estación_11,Grupo_12,235,16.70,-67.7125,40,50,150,2,1,3,0,15,0,0,25,0,0,0,0
E11_g2,Estación_11,Grupo_2,235,16.70,-67.7125,85,175,250,4,0,4,0,3,0,0,60,0,0,0,10
E11_g3,Estación_11,Grupo_3,235,16.70,-67.7125,30,80,120,1,0,1,0,0,0,0,30,0,0,0,0
E11_g4,Estación_11,Grupo_4,235,16.70,-67.7125,15,50,150,3,0,3,0,0,0,0,15,0,0,0.5,0
E11_g5,Estación_11,Grupo_5,235,16.70,-67.7125,16,70,111,1,2,3,0,0,0,0,15,0,0,0,0
E11_g6,Estación_11,Grupo_6,235,16.70,-67.7125,45,100,170,2,0,2,0,0,0,0,40,0,0,0,0
E11_g7,Estación_11,Grupo_7,235,16.70,-67.7125,42,60,80,1,1,2,0,0,0,0,35,0,0,0,0
E11_g8,Estación_11,Grupo_8,235,16.70,-67.7125,36,120,210,4,0,4,0,4,0,0,15,0,0,0,1
E11_g9,Estación_11,Grupo_9,235,16.70,-67.7125,18,100,140,1,0,1,0,0,0,0,18,0,0,0,0
E12_g1,Estación_12,Grupo_1,242,15.4583334038034,-67.790663,42,115,125,2,0,2,0,2,0,0,40,0,0,0,0
E12_g10,Estación_12,Grupo_10,242,15.4583334038034,-67.790663,70,130,220,8,0,8,0,0,0,12,13,0,0,4,15
E12_g2,Estación_12,Grupo_2,242,15.4583334038034,-67.790663,40,80,100,2,0,2,0,0,0,0,40,0,0,0,1
E12_g3,Estación_12,Grupo_3,242,15.4583334038034,-67.790663,50,120,180,4,0,4,0,0,0,0,35,0,0,0,0
E12_g4,Estación_12,Grupo_4,242,15.4583334038034,-67.790663,60,110,140,2,0,2,0,0,0,0,50,0,0,0,0
E12_g5,Estación_12,Grupo_6,242,15.4583334038034,-67.790663,40,150,250,3,0,3,0,0,0,25,40,0,0,0,0
E12_g6,Estación_12,Grupo_7,242,15.4583334038034,-67.790663,80,100,160,4,0,4,0,0,0,0,25,0,0,0,0
E12_g7,Estación_12,Grupo_8,242,15.4583334038034,-67.790663,40,120,165,3,0,3,0,0,0,0,30,0,0,0,15
E12_g8,Estación_12,Grupo_9,242,15.4583334038034,-67.790663,30,100,100,2,1,3,0,0,0,0,50,0,0,0,0
